c_resid,unit,nace_r2,geo\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
FOR,NR,I551,AT	22662144 	22026364 	21338164 	20433963 	19627356 	18588441 	18163665 	17727876 	16972143 	16169935 	15520385 	16089508 	15348001 	14946795 	14541922 	14075856 	13748371 	13486750 	13278822 	13240302 	12754590 	12803345 	12328802 	12533359 	12464012 	12877518 	13031632 	13663780 	13615991 	13827347 
FOR,NR,I551,BE	6800455 	6700260 	6312587 	5556519 	6439780 	6388967 	6227649 	6145711 	6076926 	5771650 	5449891 	5819853 	5713290 	5664462 	5409064 	5385214 	5261182 	5322521 	5117309 	5163137 	4982766 	4858778 	4710320 	4468853 	4137666 	3947000 	3719000 	3860519 	: 	: 
FOR,NR,I551,BG	3958630 	3807990 	3571097 	3319403 	2805760 	2732212 	2754493 	2579134 	2387427 	2064167 	1931258 	2204650 	2205624 	2022579 	1909436 	1668140 	1375650 	1030081 	863624 	741357 	581272 	683481 	662271 	755021 	799775 	959686 	1100294 	1019730 	728948 	1946455 
FOR,NR,I551,CH	: 	: 	: 	9190772 	9292153 	9145704 	7876619 	8553759 	8521907 	8615240 	8281738 	8595395 	8435993 	7851391 	7218465 	: 	: 	6867696 	7454855 	7821158 	7153967 	7185379 	7039225 	6729797 	6945983 	7357885 	7224502 	7527998 	7400292 	7963159 
FOR,NR,I551,CY	2689072 	2665671 	2488362 	2268054 	1873550 	1934727 	1946893 	2019848 	1921251 	1788372 	1646564 	1753561 	1775447 	1761316 	1750168 	1725070 	1817936 	2034398 	2335121 	2235528 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,CZ	9971534 	9672369 	9354116 	8578636 	8023523 	7513226 	7326692 	7166917 	6376697 	5974227 	5609025 	6134720 	6098495 	5780674 	5685757 	5346485 	4484989 	4314111 	4861615 	4096720 	4140533 	4066645 	4012521 	3696297 	2891461 	2448289 	: 	: 	: 	: 
FOR,NR,I551,DE	34573809 	34039005 	32923152 	31208132 	30691278 	28878052 	27603412 	26547182 	24789151 	23381892 	20965704 	21653856 	21449077 	20629904 	18761436 	17620179 	15978737 	15672296 	15753872 	16718722 	14965272 	14457265 	13745185 	13041895 	12683333 	12269374 	12071244 	13292398 	13044621 	14420872 
FOR,NR,I551,DK	2070106 e	1999199 e	1925519 e	1859503 e	1821779 e	1825660 e	1699027 	1614855 	1510749 	1368915 	1190417 	1284257 	1308316 	1357274 	1350003 	1366271 	1295983 	1274633 	1310447 	1336246 	1268310 	1304514 	1316607 	1306529 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,EA	274213820 	269994020 e	256988803 e	239044537 	231415248 	219668224 	: 	198808720 	195699016 	180948679 	168900603 	179645600 e	: 	168645707 e	159039009 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,EE	1999473 	1920203 	1945113 	1870292 	1765561 	1816317 	1798392 	1746733 	1702592 	1487496 	1307548 	1353034 	1286423 	1329688 	1358089 	1300070 	1008631 	936737 	895970 	825282 	703670 	602194 	540414 	402968 	330853 	314900 	282409 	: 	: 	: 
FOR,NR,I551,EL	19694349 	19376730 	14830511 	12999947 	12734567 	11882134 	10490113 	9243951 	10041765 	8964224 	8542307 	8657775 	8745901 	7547667 	7142860 	6313228 	6574470 	6654333 	6996833 	7767238 	7228694 	7276429 	6784963 	5972651 	6250225 	6659348 	: 	: 	: 	: 
FOR,NR,I551,ES	55981859 	54145755 	53333911 	50296787 	45693370 	43131783 	41251545 	39936729 	39542095 	35655543 	32002237 	35748413 	35782745 	34411759 	29028691 	27619861 	27248610 	26610690 	27011998 	27149526 	26799266 	20198954 	18249738 	17008452 	16286025 	15310220 	12914437 	12482644 	11984409 	12259329 
FOR,NR,I551,EU27_2007	334244525 e	327991483 e	313093644 e	291321763 	283036058 	267628049 e	257769688 	244055947 	239149312 	223341208 	208250353 	220770657 e	: 	215148523 e	203696013 e	: 	: 	: 	190095190 	191565101 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,EU27_2020	316383195 	311007805 e	296190603 e	275486189 	265146150 	251283598 	: 	229789315 	224364997 	208786952 	194613279 	207249615 e	: 	200273596 e	190538890 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,EU28	340970551 e	334370179 e	319102776 e	296790096 	288286703 	272539301 e	262442632 	248577750 	243457582 	227296641 	211934568 	224661303 e	: 	218906361 e	207445665 e	: 	: 	: 	192890014 	194190704 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,FI	2900552 	2855861 	2843117 	2512415 	2332623 	2396997 	2458332 	2460950 	2321765 	2046401 	1953538 	2213641 	2187628 	2045112 	1828302 	1819661 	1799695 	1796461 	1773874 	1750707 	1613323 	1655061 	1617570 	1537046 	1586537 	1632905 	1447309 	: 	: 	: 
FOR,NR,I551,FR	37560152 	39179061 	36558851 	33646450 	35093619 	34393532 	34067189 	31035931 	30383282 	29661659 	28926790 	32324776 	33462941 	32506493 	35032764 	33987943 	32520140 	36093094 	35097007 	34267347 	32339472 	29625250 	: 	: 	27018289 	27120728 	26269529 	28401586 	25238061 	25767898 
FOR,NR,I551,HR	6726026 	6378696 	6009132 	5468333 	5250645 	4911252 	4672944 	4521803 	4308270 	3955433 	3684215 	3886217 	3909542 	3741966 	3743874 	3361842 	3086506 	2988313 	2794824 	2625603 	1769403 	2132765 	2054607 	1573106 	848324 	1473538 	1033394 	: 	: 	: 
FOR,NR,I551,HU	5455656 	5285600 	5029145 	4759214 	4437504 	4186556 	4006962 	3825319 	3414443 	3133384 	2914328 	3196784 	3130999 	3009203 	3140248 	2950930 	2598861 	2658735 	2669481 	2603752 	2401079 	2472015 	2188290 	2201612 	2116072 	2121855 	: 	: 	: 	: 
FOR,NR,I551,IE	3058717 e	2795537 e	: 	2674792 e	2260323 e	1856431 e	1830935 e	1896179 e	3512303 u	3212721 u	3538635 u	: 	: 	: 	: 	: 	: 	: 	3577000 	5491000 	3343000 	3077000 	: 	: 	: 	1901000 	1643000 	1598000 	1673000 	1652000 
FOR,NR,I551,IS	3196804 	: 	: 	2631562 	2083262 	1573491 	1302880 	1107693 	1016532 	863566 	843453 	806163 	782465 	714298 	643376 	614923 	569194 	513075 	464621 	451267 	431110 	399950 	354232 	310788 	: 	: 	: 	: 	: 	: 
FOR,NR,I551,IT	47376634 	46824639 	45365143 	43405265 	43097433 	40769577 	39989184 	38867517 	37983634 	35020415 	32632696 	33666586 	34768963 	33512760 	30870027 	29916163 	28174361 	29339827 	29138063 	28797260 	26529706 	25927086 	25133302 	24929054 	23466526 	21073713 	17919195 	17365849 	17060956 	17924420 
FOR,NR,I551,LI	83948 	72177 	69003 	60036 	48629 	53679 	52379 	53598 	53326 	49804 	52285 	58454 	58258 	54856 	49767 	48501 	49002 	48727 	56475 	61550 	59502 	59208 	57077 	56168 	59447 	: 	: 	: 	: 	77528 
